threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR
1,1,1,0.106726,3.54419
1,1,2,0.106915,6.81628
1,1,3,0.108279,10.1651
1,1,4,0.113274,13.103
1,1,5,0.108073,17.0168
1,1,6,0.078209,20.3154
1,1,7,0.073718,24.2119
1,1,8,0.102751,26.0779
1,1,9,0.102664,29.5115
1,1,10,0.107667,32.1881
1,1,11,0.114232,35.6671
1,1,12,0.106476,38.8816
1,1,13,0.108172,42.214
1,1,14,0.103019,44.6862
1,1,15,0.08025,52.3337
1,1,16,0.103849,51.2579
1,1,17,0.10697,55.7509
1,1,18,0.090898,57.6223
1,1,19,0.103317,61.2743
1,1,20,0.101307,63.9083
1,1,21,0.103646,68.1513
1,1,22,0.102581,70.5103
1,1,23,0.104988,74.2788
1,1,24,0.106305,76.5925
1,1,25,0.104723,80.8838
1,1,26,0.112904,83.0487
1,1,27,0.104725,87.8733
1,1,28,0.104758,89.8353
1,1,29,0.102018,93.7181
1,1,30,0.102927,95.5303
1,1,31,0.103535,100.635
1,1,32,0.103496,102.095
1,1,33,0.102588,107.199
1,1,34,0.103795,108.619
1,1,35,0.103871,113.352
1,1,36,0.105805,114.714
1,1,37,0.105035,118.692
1,1,38,0.104461,121.266
1,1,39,0.110355,125.841
1,1,40,0.102552,128.781
1,1,41,0.102096,132.236
1,1,42,0.10327,133.058
1,1,43,0.105999,138.739
1,1,44,0.099059,139.42
1,1,45,0.10402,143.91
1,1,46,0.090447,146.742
1,1,47,0.103843,153.8
1,1,48,0.105514,152.834
1,1,49,0.108189,159.185
1,2,1,0.108069,3.45625
1,2,2,0.110839,6.69227
1,2,3,0.108809,9.99445
1,2,4,0.111347,13.1202
1,2,5,0.106274,16.7613
1,2,6,0.112458,19.5741
1,2,7,0.108456,23.1473
1,2,8,0.10983,25.8623
1,2,9,0.108323,29.439
1,2,10,0.107296,32.3816
1,2,11,0.106037,36.1205
1,2,12,0.115754,39.058
1,2,13,0.108977,42.3196
1,2,14,0.113011,44.8102
1,2,15,0.106863,48.7881
1,2,16,0.109524,50.9129
1,2,17,0.116654,55.2494
1,2,18,0.10929,57.2265
1,2,19,0.105581,62.1064
1,2,20,0.117642,64.0902
1,2,21,0.113973,67.695
1,2,22,0.105415,70.3939
1,2,23,0.104948,73.8298
1,2,24,0.100574,76.5543
1,2,25,0.108391,80.7421
1,2,26,0.101283,83.5312
1,2,27,0.10434,87.4174
1,2,28,0.114043,89.6411
1,2,29,0.106023,93.6831
1,2,30,0.107863,95.776
1,2,31,0.102769,100.332
1,2,32,0.105208,102.596
1,2,33,0.101909,106.951
1,2,34,0.10577,107.92
1,2,35,0.113137,112.816
1,2,36,0.107829,114.114
1,2,37,0.102323,118.809
1,2,38,0.104481,120.664
1,2,39,0.103949,124.918
1,2,40,0.106711,126.798
1,2,41,0.10398,132.801
1,2,42,0.106949,133.417
1,2,43,0.113232,138.659
1,2,44,0.101907,139.793
1,2,45,0.105842,144.233
1,2,46,0.113814,146.431
1,2,47,0.106842,151.602
1,2,48,0.109321,154.33
1,2,49,0.109255,157.01
1,3,1,0.102151,3.50208
1,3,2,0.104817,6.79704
1,3,3,0.111256,10.3598
1,3,4,0.100307,13.1774
1,3,5,0.121799,16.395
1,3,6,0.108552,19.4475
1,3,7,0.123514,23.0638
1,3,8,0.113692,26.3344
1,3,9,0.099899,29.53
1,3,10,0.112312,32.4088
1,3,11,0.103548,36.2064
1,3,12,0.147415,38.7617
1,3,13,0.118478,41.9326
1,3,14,0.113889,44.7841
1,3,15,0.142012,48.4475
1,3,16,0.135919,51.0859
1,3,17,0.122602,55.1832
1,3,18,0.099849,61.0259
1,3,19,0.109745,64.6768
1,3,20,0.119194,69.6633
1,3,21,0.120175,70.882
1,3,22,0.143852,71.8262
1,3,23,0.115129,80.0034
1,3,24,0.145898,79.0979
1,3,25,0.12191,82.6629
