threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR
1,1,1,0.138614,5.0431
1,1,2,0.315097,7.06432
1,1,3,0.12299,10.4857
1,1,4,0.095275,18.5543
1,1,5,0.066612,18.2597
1,1,6,0.086145,24.0589
1,1,7,0.078324,27.2276
1,1,8,0.083339,31.3666
1,1,9,0.078172,32.0354
1,1,10,0.101225,33.5999
1,1,11,0.111155,37.5258
1,1,12,0.053861,41.0475
1,1,13,0.085692,48.1882
1,1,14,0.060866,48.5342
1,1,15,0.087114,54.0462
1,1,16,0.10697,53.0708
1,1,17,0.112368,57.4168
1,1,18,0.112912,62.6842
1,1,19,0.115032,66.3074
1,1,20,0.116337,65.9448
1,1,21,0.104248,70.0168
1,1,22,0.067125,86.8627
1,1,23,0.116247,78.2412
1,1,24,0.101522,79.6594
1,1,25,0.112549,84.1748
1,1,26,0.106328,85.7489
1,1,27,0.112934,91.0084
1,1,28,0.105401,91.496
1,1,29,0.128449,98.5991
1,1,30,0.086924,100.86
1,1,31,0.116046,106.195
1,1,32,0.12474,105.108
1,1,33,0.113463,115.71
1,1,34,0.112478,110.793
1,1,35,0.115723,115.872
1,1,36,0.117062,119.113
1,1,37,0.146874,123.237
1,1,38,0.111202,124.372
1,1,39,0.113675,136.462
1,1,40,0.114164,142.519
1,1,41,0.110667,142.807
1,1,42,0.114509,143.469
1,1,43,0.107877,142.782
1,1,44,0.118946,155.922
1,1,45,0.132213,152.566
1,1,46,0.106264,152.299
1,1,47,0.111256,156.638
1,1,48,0.113075,156.805
1,1,49,0.112621,165.144
1,2,1,0.128339,3.4879
1,2,2,0.102135,8.61303
1,2,3,0.120339,10.4098
1,2,4,0.180837,13.991
1,2,5,0.112043,20.0409
1,2,6,0.071521,24.4988
1,2,7,0.107648,29.6229
1,2,8,0.098627,32.1459
1,2,9,0.106399,31.2421
1,2,10,0.110069,49.7831
1,2,11,0.12216,38.5551
1,2,12,0.120851,40.3593
1,2,13,0.114125,43.9316
1,2,14,0.139368,46.9523
1,2,15,0.137078,50.5651
1,2,16,0.115347,54.083
1,2,17,0.116812,56.6302
1,2,18,0.121271,58.9012
1,2,19,0.129747,64.8229
1,2,20,0.117611,65.8332
1,2,21,0.109065,72.9164
1,2,22,0.132686,73.0763
1,2,23,0.142128,76.9281
1,2,24,0.123366,79.2127
1,2,25,0.120228,82.7363
1,2,26,0.120824,85.9985
1,2,27,0.116819,90.0723
1,2,28,0.123817,92.828
1,2,29,0.115453,96.6403
1,2,30,0.125726,99.7262
1,2,31,0.113947,103.365
1,2,32,0.109769,109.436
1,2,33,0.120197,109.164
1,2,34,0.137747,112.279
1,2,35,0.13846,116.312
1,2,36,0.112942,119.293
1,2,37,0.101706,122.9
1,2,38,0.127636,125.534
1,2,39,0.157804,137.687
1,2,40,0.122662,131.441
1,2,41,0.115562,136.447
1,2,42,0.12388,138.171
1,2,43,0.118378,143.339
1,2,44,0.138008,145.379
1,2,45,0.116644,150.362
1,2,46,0.124333,155.627
1,2,47,0.119928,156.73
1,2,48,0.136784,156.213
1,2,49,0.122948,164.666
1,3,1,0.104991,3.47248
1,3,2,0.105311,6.81543
1,3,3,0.110464,10.6661
1,3,4,0.108106,13.7221
1,3,5,0.113535,17.0395
1,3,6,0.125934,20.6535
1,3,7,0.107756,23.8696
1,3,8,0.145817,27.3647
1,3,9,0.134727,32.7293
1,3,10,0.129244,33.611
1,3,11,0.112161,37.775
1,3,12,0.121984,40.6408
1,3,13,0.128376,51.8863
1,3,14,0.141625,47.0756
1,3,15,0.167674,49.9407
1,3,16,0.151533,52.8572
1,3,17,0.121641,57.211
1,3,18,0.162108,59.1998
1,3,19,0.120103,65.3786
1,3,20,0.158793,66.5587
1,3,21,0.092679,71.9386
1,3,22,0.151165,73.3743
1,3,23,0.127115,76.5824
1,3,24,0.147927,78.9221
1,3,25,0.145444,86.2891
1,3,26,0.112342,88.3291
1,3,27,0.214083,90.4503
1,3,28,0.181761,92.5318
1,3,29,0.142876,98.4231
1,3,30,0.148573,98.696
1,3,31,0.109455,102.221
1,3,32,0.121386,104.863
1,3,33,0.131689,109.844
1,3,34,0.113774,112.772
1,3,35,0.135156,118.921
1,3,36,0.144972,118.099
1,3,37,0.149964,123.758
1,3,38,0.148155,124.919
1,3,39,0.127974,128.706
1,3,40,0.160284,133.924
1,3,41,0.089734,136.058
1,3,42,0.148513,141.062
1,3,43,0.151525,143.883
1,3,44,0.147972,143.079
1,3,45,0.12799,150.707
1,3,46,0.146924,149.724
1,3,47,0.148877,154.833
1,3,48,0.09836,161.007
1,3,49,0.143917,163.56
1,4,1,0.164534,3.54667
1,4,2,0.103939,6.62566
1,4,3,0.116696,10.4645
1,4,4,0.144554,14.0832
1,4,5,0.113952,17.1317
1,4,6,0.100646,20.1343
1,4,7,0.110755,23.7674
1,4,8,0.102106,28.4439
1,4,9,0.140953,30.3514
1,4,10,0.118937,34.1795
1,4,11,0.112911,37.619
1,4,12,0.124089,39.6493
1,4,13,0.167867,43.4491
1,4,14,0.105947,48.1889
1,4,15,0.183329,50.0426
1,4,16,0.124835,53.2622
1,4,17,0.264231,59.2822
1,4,18,0.129099,59.0492
1,4,19,0.118564,65.3364
1,4,20,0.143118,66.1102
1,4,21,0.126504,71.8554
1,4,22,0.121599,71.7657
1,4,23,0.168856,75.8841
1,4,24,0.145599,79.0472
1,4,25,0.11945,82.687
1,4,26,0.175836,86.9548
1,4,27,0.184915,89.2539
1,4,28,0.118254,91.4257
1,4,29,0.115365,97.0898
1,4,30,0.187427,100.946
1,4,31,0.139094,103.267
1,4,32,0.150504,111.42
1,4,33,0.089725,110.283
1,4,34,0.126809,113.401
1,4,35,0.162038,115.586
1,4,36,0.084674,118.155
1,4,37,0.177212,134.079
1,4,38,0.182063,125.923
1,4,39,0.132983,128.846
1,4,40,0.131102,132.782
1,4,41,0.111818,135.517
1,4,42,0.090069,137.95
1,4,43,0.103065,143.664
1,4,44,0.143517,147.841
1,4,45,0.17799,150.135
1,4,46,0.158067,150.02
1,4,47,0.144088,155.85
1,4,48,0.167906,158.43
1,4,49,0.170947,166.212
1,5,1,0.16533,3.45648
1,5,2,0.20925,6.8991
1,5,3,0.198163,10.627
1,5,4,0.137045,13.5703
1,5,5,0.194028,19.992
1,5,6,0.23672,20.7834
1,5,7,0.167516,25.0637
1,5,8,0.190948,27.0925
1,5,9,0.236357,30.1183
1,5,10,0.196346,35.2741
1,5,11,0.125538,36.9527
1,5,12,0.132927,40.6171
1,5,13,0.267733,43.6619
1,5,14,0.14819,47.0344
1,5,15,0.145474,50.499
1,5,16,0.2099,54.0525
1,5,17,0.235155,57.7434
1,5,18,0.22951,59.8273
1,5,19,0.247564,63.7368
1,5,20,0.138562,67.6008
1,5,21,0.183522,70.9629
1,5,22,0.237688,75.3276
1,5,23,0.191795,80.8282
1,5,24,0.159638,80.7934
1,5,25,0.200009,84.7545
1,5,26,0.245935,85.9572
1,5,27,0.21424,92.882
1,5,28,0.220229,93.3468
1,5,29,0.145561,97.4893
1,5,30,0.218265,99.3837
1,5,31,0.215851,102.46
1,5,32,0.219647,108.635
1,5,33,0.188564,113.131
1,5,34,0.214627,115.761
1,5,35,0.254685,118.043
1,5,36,0.201846,118.799
1,5,37,0.156926,122.978
1,5,38,0.184181,127.0
1,5,39,0.244344,133.631
1,5,40,0.144533,134.963
1,5,41,0.229017,137.697
1,5,42,0.21635,137.312
1,5,43,0.21909,143.862
1,5,44,0.234312,145.197
1,5,45,0.19607,149.224
1,5,46,0.252408,154.473
1,5,47,0.257221,159.022
1,5,48,0.203632,158.22
1,5,49,0.208823,163.608
1,6,1,0.151218,3.46544
1,6,2,0.198002,6.65091
1,6,3,0.260898,10.4349
1,6,4,0.215938,13.9698
1,6,5,0.228771,17.335
1,6,6,0.136565,20.3119
1,6,7,0.152758,24.0176
1,6,8,0.165485,27.3379
1,6,9,0.177304,31.0213
1,6,10,0.164509,34.1065
1,6,11,0.21932,39.919
1,6,12,0.236925,42.2279
1,6,13,0.206923,46.7344
1,6,14,0.11543,48.3219
1,6,15,0.19115,50.9666
1,6,16,0.230416,53.7715
1,6,17,0.198456,57.0532
1,6,18,0.121485,59.3126
1,6,19,0.249894,63.6157
1,6,20,0.250927,84.9626
1,6,21,0.220398,70.0814
1,6,22,0.207061,75.7544
1,6,23,0.268436,77.0463
1,6,24,0.228113,79.6529
1,6,25,0.239844,85.7725
1,6,26,0.138622,87.4343
1,6,27,0.237077,93.0384
1,6,28,0.226822,92.731
1,6,29,0.245249,96.5125
1,6,30,0.229362,102.323
1,6,31,0.231038,103.118
1,6,32,0.15267,105.477
1,6,33,0.266399,115.159
1,6,34,0.231002,113.826
1,6,35,0.258541,117.233
1,6,36,0.273771,118.184
1,6,37,0.182427,121.67
1,6,38,0.235832,124.332
1,6,39,0.251234,130.839
1,6,40,0.231378,131.153
1,6,41,0.164723,136.131
1,6,42,0.257256,146.207
1,6,43,0.245232,143.572
1,6,44,0.260182,146.728
1,6,45,0.218053,148.64
1,6,46,0.252592,153.946
1,6,47,0.228708,156.536
1,6,48,0.20876,172.517
1,6,49,0.156761,164.485
1,7,1,0.209774,3.56635
1,7,2,0.163043,6.90138
1,7,3,0.235352,10.4815
1,7,4,0.176944,13.4651
1,7,5,0.244195,17.3119
1,7,6,0.293482,20.927
1,7,7,0.243938,26.1607
1,7,8,0.189759,27.3641
1,7,9,0.241303,30.9695
1,7,10,0.249027,33.4035
1,7,11,0.235265,37.529
1,7,12,0.280068,39.7635
1,7,13,0.191569,44.5932
1,7,14,0.205099,48.2382
1,7,15,0.246781,51.1583
1,7,16,0.182672,53.4886
1,7,17,0.283348,62.2465
1,7,18,0.213742,62.4727
1,7,19,0.244148,66.3863
1,7,20,0.26168,66.7699
1,7,21,0.215456,70.279
1,7,22,0.248995,73.2765
1,7,23,0.241495,76.7913
1,7,24,0.252942,81.0362
1,7,25,0.188747,84.8212
1,7,26,0.223275,85.6646
1,7,27,0.250208,91.3952
1,7,28,0.214926,93.3362
1,7,29,0.178742,98.2999
1,7,30,0.213664,99.1335
1,7,31,0.265699,104.158
1,7,32,0.221415,106.706
1,7,33,0.229755,114.752
1,7,34,0.194782,115.804
1,7,35,0.160484,126.26
1,7,36,0.176942,119.197
1,7,37,0.216481,127.442
1,7,38,0.251896,127.96
1,7,39,0.260638,135.98
1,7,40,0.210933,140.816
1,7,41,0.288371,140.216
1,7,42,0.248332,154.63
1,7,43,0.199027,156.29
1,7,44,0.134782,160.411
1,7,45,0.200116,151.155
1,7,46,0.278572,155.732
1,7,47,0.237404,165.182
1,7,48,0.20627,160.18
1,7,49,0.219976,181.417
1,8,1,0.236799,3.60887
1,8,2,0.283572,6.80567
1,8,3,0.244467,10.2591
1,8,4,0.215771,13.2011
1,8,5,0.192253,17.47
1,8,6,0.283107,20.248
1,8,7,0.239226,23.6822
1,8,8,0.197994,26.8588
1,8,9,0.144911,31.3443
1,8,10,0.245569,32.9797
1,8,11,0.26334,37.1094
1,8,12,0.191766,46.6083
1,8,13,0.534379,59.466
1,8,14,0.215349,54.7861
1,8,15,0.723602,64.9029
1,8,16,0.244554,64.8309
1,8,17,0.239506,68.3774
1,8,18,0.197614,69.0972
1,8,19,0.34188,80.2285
1,8,20,0.202059,95.0532
1,8,21,0.287589,78.1037
1,8,22,0.261214,78.6529
1,8,23,0.268615,84.1292
1,8,24,0.247672,105.042
1,8,25,0.247101,93.4793
1,8,26,0.214478,141.768
1,8,27,0.262302,121.237
1,8,28,0.270406,113.136
1,8,29,0.340374,111.599
1,8,30,0.294317,104.601
1,8,31,0.196633,108.585
1,8,32,0.277801,115.171
1,8,33,0.193822,110.73
1,8,34,0.248474,120.294
1,8,35,0.253865,127.852
1,8,36,0.16398,137.444
1,8,37,0.143424,127.848
1,8,38,0.303071,129.701
1,8,39,0.239522,143.302
1,8,40,0.286956,140.228
1,8,41,0.258253,141.053
1,8,42,0.23382,138.0
1,8,43,0.248259,142.011
1,8,44,0.312302,144.11
1,8,45,0.209539,148.697
1,8,46,0.339671,152.314
1,8,47,0.244585,155.477
1,8,48,0.2798,158.344
1,8,49,0.275226,162.885
1,9,1,0.324798,3.41149
1,9,2,0.250331,6.65966
1,9,3,0.180901,10.8852
1,9,4,0.212931,13.5223
1,9,5,0.197772,17.9503
1,9,6,0.240287,20.912
1,9,7,0.183227,24.6683
1,9,8,0.237388,28.1911
1,9,9,0.199805,32.2933
1,9,10,0.326039,33.2581
1,9,11,0.216018,36.793
1,9,12,0.217896,39.5135
1,9,13,0.297826,43.796
1,9,14,0.320425,45.7005
1,9,15,0.255679,49.9587
1,9,16,0.251055,52.5782
1,9,17,0.297918,56.1992
1,9,18,0.277215,60.7648
1,9,19,0.179883,71.3011
1,9,20,0.229247,67.9187
1,9,21,0.341077,69.8069
1,9,22,0.206717,72.1425
1,9,23,0.312681,75.1702
1,9,24,0.195343,79.4054
1,9,25,0.248352,82.2069
1,9,26,0.297826,85.408
1,9,27,0.252173,89.3455
1,9,28,0.278238,92.2637
1,9,29,0.27968,96.4428
1,9,30,0.263232,100.766
1,9,31,0.225593,111.355
1,9,32,0.273604,115.23
1,9,33,0.447694,128.251
1,9,34,0.442965,123.119
1,9,35,0.235625,129.973
1,9,36,0.306655,126.254
1,9,37,0.331241,122.546
1,9,38,0.217385,126.363
1,9,39,0.166841,131.939
1,9,40,0.273407,130.217
1,9,41,0.340445,135.753
1,9,42,0.279008,138.47
1,9,43,0.326185,145.867
1,9,44,0.168714,147.945
1,9,45,0.271947,149.686
1,9,46,0.255402,158.056
1,9,47,0.270771,161.082
1,9,48,0.288176,156.629
