threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR,EXPERIMENTO
1,1,8,0.9839605,980.9114999999999,1
1,2,8,1.0995650000000001,946.0245,1
1,3,8,0.9207915,974.7115,1
1,4,8,0.9004135,989.6945000000001,1
1,5,8,0.8153090000000001,975.0535,1
1,6,8,0.8779255,977.0809999999999,1
1,7,8,0.8708955,968.874,1
1,8,8,0.8922775000000001,963.768,1
1,9,8,0.9420265000000001,984.5255,1
1,10,8,0.9929835,957.7760000000001,1
1,11,8,0.9928835,955.913,1
1,12,8,0.995431,974.196,1
1,13,8,1.05069,957.673,1
1,14,8,1.15048,952.5165,1
1,15,8,1.2613,955.8355,1
1,16,8,1.339365,941.9794999999999,1
1,17,8,1.31628,975.4359999999999,1
1,18,8,1.40375,959.8105,1
1,19,8,1.432,944.681,1
1,20,8,1.53124,961.6205,1
1,21,8,1.4880149999999999,946.9639999999999,1
1,22,8,1.5520550000000002,930.55,1
1,23,8,1.68031,972.6845,1
1,24,8,1.86907,961.014,1
1,25,8,1.83135,988.2955,1
1,26,8,1.8684349999999998,997.1635,1
2,1,8,1.1844649999999999,578.059,1
2,2,8,0.8477870000000001,566.371,1
2,3,8,0.6624095000000001,581.937,1
2,4,8,0.6544465,573.9300000000001,1
2,5,8,0.6343829999999999,581.8465,1
2,6,8,0.66089,585.527,1
2,7,8,0.663694,565.5409999999999,1
2,8,8,0.710591,562.297,1
2,9,8,0.7493905,568.1635,1
2,10,8,0.814733,568.8715,1
2,11,8,0.8399000000000001,578.366,1
2,12,8,0.909095,570.619,1
2,13,8,0.9772675,583.4245000000001,1
2,14,8,1.0162849999999999,571.5675,1
2,15,8,1.02622,577.1144999999999,1
2,16,8,1.1018599999999998,578.7195,1
2,17,8,1.0981649999999998,568.5995,1
2,18,8,1.097445,581.364,1
2,19,8,1.320855,570.344,1
2,20,8,1.334185,583.3399999999999,1
2,21,8,1.319005,584.6265000000001,1
2,22,8,1.47947,577.2819999999999,1
2,23,8,1.42737,572.138,1
2,24,8,1.3868800000000001,565.5709999999999,1
2,25,8,1.4811800000000002,561.63,1
2,26,8,1.6592799999999999,574.827,1
3,1,8,1.248785,427.1715,1
3,2,8,0.7052215,421.5575,1
3,3,8,0.525601,430.84450000000004,1
3,4,8,0.4925025,420.3615,1
3,5,8,0.444448,428.052,1
3,6,8,0.4931315,424.5475,1
3,7,8,0.506793,425.89250000000004,1
3,8,8,0.5226385,422.2895,1
3,9,8,0.5376845,423.217,1
3,10,8,0.5566925,422.5925,1
3,11,8,0.606359,421.85249999999996,1
3,12,8,0.636713,424.42449999999997,1
3,13,8,0.6282985,422.3415,1
3,14,8,0.6709725,417.8025,1
3,15,8,0.6867535,419.2685,1
3,16,8,0.691892,420.5485,1
3,17,8,0.7841765,420.50800000000004,1
3,18,8,0.8423555,419.0135,1
3,19,8,0.8532445,427.727,1
3,20,8,0.898894,420.36400000000003,1
3,21,8,0.9716285,428.7415,1
3,22,8,1.0148345,421.5965,1
3,23,8,1.0224199999999999,423.5605,1
3,24,8,1.053795,423.0175,1
3,25,8,1.0888200000000001,425.146,1
3,26,8,1.052875,423.914,1
4,1,8,1.14324,305.3585,1
4,2,8,0.6135459999999999,304.1955,1
4,3,8,0.4504815,301.408,1
4,4,8,0.410117,304.66499999999996,1
4,5,8,0.390724,305.2875,1
4,6,8,0.4119115,305.5005,1
4,7,8,0.43205499999999997,304.42449999999997,1
4,8,8,0.459904,303.111,1
4,9,8,0.48964549999999996,302.9335,1
4,10,8,0.495603,306.36850000000004,1
4,11,8,0.546153,306.408,1
4,12,8,0.559281,303.22450000000003,1
4,13,8,0.5791999999999999,304.1595,1
4,14,8,0.585137,304.278,1
4,15,8,0.6313765,306.20849999999996,1
4,16,8,0.6577785,304.59799999999996,1
4,17,8,0.699587,304.1015,1
4,18,8,0.742329,305.598,1
4,19,8,0.779463,307.6725,1
4,20,8,0.831025,304.48850000000004,1
4,21,8,0.8569375,307.071,1
4,22,8,0.8869750000000001,306.988,1
4,23,8,0.906086,305.01800000000003,1
4,24,8,0.941913,304.97850000000005,1
4,25,8,0.9768535,305.12,1
4,26,8,1.026605,311.0815,1
5,1,8,1.10693,318.2135,1
5,2,8,0.5817205000000001,318.22900000000004,1
5,3,8,0.42515749999999997,318.4605,1
5,4,8,0.36575349999999995,319.5665,1
5,5,8,0.3570575,319.12350000000004,1
5,6,8,0.3794305,318.7045,1
5,7,8,0.407786,319.1395,1
5,8,8,0.4271915,318.18399999999997,1
5,9,8,0.454535,318.1165,1
5,10,8,0.4737215,318.9235,1
5,11,8,0.4996795,318.36850000000004,1
5,12,8,0.522518,321.17150000000004,1
5,13,8,0.5541365,321.05100000000004,1
5,14,8,0.555496,320.02750000000003,1
5,15,8,0.5919445000000001,318.895,1
5,16,8,0.6265305000000001,319.072,1
5,17,8,0.6751050000000001,318.93100000000004,1
5,18,8,0.709056,319.3505,1
5,19,8,0.7574385,318.951,1
5,20,8,0.7799965,318.1815,1
5,21,8,0.810842,319.118,1
5,22,8,0.8456265000000001,318.532,1
5,23,8,0.8863515,319.04150000000004,1
5,24,8,0.919691,319.2395,1
5,25,8,0.9363885000000001,320.509,1
5,26,8,0.975376,318.726,1
6,1,8,1.134155,338.64250000000004,1
6,2,8,0.6424015000000001,337.5095,1
6,3,8,0.470337,337.787,1
6,4,8,0.431811,339.4635,1
6,5,8,0.4098965,339.8115,1
6,6,8,0.413714,339.1935,1
6,7,8,0.45228999999999997,338.962,1
6,8,8,0.4663965,341.403,1
6,9,8,0.482362,340.13599999999997,1
6,10,8,0.5095555,340.8775,1
6,11,8,0.5411604999999999,341.0115,1
6,12,8,0.557793,340.345,1
6,13,8,0.5832775,338.89099999999996,1
6,14,8,0.6473185,339.068,1
6,15,8,0.656397,340.2015,1
6,16,8,0.6862555,339.5815,1
6,17,8,0.719278,340.45950000000005,1
6,18,8,0.7663575,338.3515,1
6,19,8,0.799207,340.391,1
6,20,8,0.8484084999999999,340.39750000000004,1
6,21,8,0.9025705,340.444,1
6,22,8,0.906442,338.977,1
6,23,8,0.9631425,339.079,1
6,24,8,0.9813810000000001,338.90549999999996,1
6,25,8,1.084595,337.8745,1
6,26,8,1.01872,339.4995,1
7,1,8,1.2157200000000001,374.3425,1
7,2,8,0.7772885,376.903,1
7,3,8,0.5393060000000001,376.858,1
7,4,8,0.510275,374.2955,1
7,5,8,0.4617675,375.1735,1
7,6,8,0.5032645,375.9785,1
7,7,8,0.49410699999999996,374.12850000000003,1
7,8,8,0.589253,374.632,1
7,9,8,0.5403035,375.0685,1
7,10,8,0.5962875,375.904,1
7,11,8,0.629074,374.77750000000003,1
7,12,8,0.6762330000000001,375.765,1
7,13,8,0.65437,373.9525,1
7,14,8,0.793917,374.1825,1
7,15,8,0.7559290000000001,375.57050000000004,1
7,16,8,0.7512075,375.3505,1
7,17,8,0.837742,373.97450000000003,1
7,18,8,0.8273945,375.0025,1
7,19,8,0.9140135,376.4095,1
7,20,8,1.0309849999999998,376.077,1
7,21,8,0.9565705,373.318,1
7,22,8,1.03857,374.556,1
7,23,8,1.0646550000000001,374.6355,1
7,24,8,1.1547100000000001,375.451,1
7,25,8,1.132955,372.2745,1
7,26,8,1.20676,376.1355,1
8,1,8,1.148005,227.75900000000001,1
8,2,8,0.5895815,228.1935,1
8,3,8,0.42592549999999996,227.858,1
8,4,8,0.3608305,230.9905,1
8,5,8,0.34304650000000003,229.07100000000003,1
8,6,8,0.367112,227.3485,1
8,7,8,0.387813,227.6245,1
8,8,8,0.4229735,229.2735,1
8,9,8,0.440327,227.2265,1
8,10,8,0.4771895,232.224,1
8,11,8,0.49135700000000004,230.96699999999998,1
8,12,8,0.508341,227.403,1
8,13,8,0.5220750000000001,224.899,1
8,14,8,0.5464370000000001,227.2715,1
8,15,8,0.6165575000000001,232.296,1
8,16,8,0.6217365,228.747,1
8,17,8,0.6530914999999999,227.56,1
8,18,8,0.694825,226.4065,1
8,19,8,0.7297994999999999,229.39499999999998,1
8,20,8,1.056297,333.6035,1
8,21,8,0.7993945,227.1525,1
8,22,8,0.8178300000000001,228.4525,1
8,23,8,0.855082,229.06099999999998,1
8,24,8,0.8954385,229.09199999999998,1
8,25,8,0.971788,236.27249999999998,1
8,26,8,0.973381,227.77949999999998,1
1,1,8,0.913435,810.6095,2
1,2,8,0.9015905,835.355,2
1,3,8,0.7949174999999999,883.48,2
1,4,8,0.7667809999999999,852.348,2
1,5,8,0.7918545,829.5045,2
1,6,8,0.7867515,790.615,2
1,7,8,0.820157,819.009,2
1,8,8,0.8394174999999999,812.546,2
1,9,8,0.8843835,796.1765,2
1,10,8,0.893214,808.3299999999999,2
1,11,8,0.9199714999999999,797.6545,2
1,12,8,1.0551249999999999,796.5065,2
1,13,8,1.139115,791.4200000000001,2
1,14,8,1.1961249999999999,811.654,2
1,15,8,1.2398250000000002,809.981,2
1,16,8,1.3147199999999999,806.6415,2
1,17,8,1.36666,822.2139999999999,2
1,18,8,1.442755,810.972,2
1,19,8,1.4334600000000002,810.7545,2
1,20,8,1.5456699999999999,811.2275,2
1,21,8,1.707905,809.079,2
1,22,8,1.6354250000000001,815.9749999999999,2
